ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,0E4D633D175D038D09BC3B1D8B0B67774A62DA03.STORY,SYSSUM.TXT,0.51282,0.17857,0.26490,1
ROUGE-1,19497ECAB6273CBB17BC38C93C6B1B76A2EFD05E.STORY,SYSSUM.TXT,0.38806,0.20968,0.27225,1
ROUGE-1,0A0A4C90D59DF9E36FFEC4BA306B4F20F3BA4ACB.STORY,SYSSUM.TXT,0.54167,0.13265,0.21311,1
ROUGE-1,007DDC6D5805B3C515BC2CA8843DCFF28EC4903C.STORY,SYSSUM.TXT,0.64444,0.08146,0.14464,1
ROUGE-1,180BD38FE0C74FD417E7869050355B5AC835525A.STORY,SYSSUM.TXT,0.55932,0.10000,0.16967,1
ROUGE-1,125FA4FA5D93C3237909F033D9466172FDC674FC.STORY,SYSSUM.TXT,0.31250,0.11905,0.17241,1
ROUGE-1,03496EA71C83FCCF5C36E46D857B9FEB8EC70C1D.STORY,SYSSUM.TXT,0.68627,0.23179,0.34653,1
ROUGE-1,0E29E9CF2A08C4B35BA840BDE03B0537E3821A74.STORY,SYSSUM.TXT,0.60976,0.15528,0.24752,1
ROUGE-1,0BA7C45F2C2C66A32C394EB530B60E7EF90E35E9.STORY,SYSSUM.TXT,0.50000,0.16667,0.25000,1
ROUGE-1,029050376967D7C47A862ADE09BF39A64CC97F92.STORY,SYSSUM.TXT,0.50000,0.15972,0.24211,1
ROUGE-1,03E4DF7E650487CAEA2F6AFF02B79E5FCAAF2AC0.STORY,SYSSUM.TXT,0.69811,0.32456,0.44311,1
ROUGE-1,0745FE675FFF884B9DA39A6D56B398045AC8257A.STORY,SYSSUM.TXT,0.56863,0.06792,0.12134,1
ROUGE-1,18B5DCAC48E040D1B1008D21446ED37CF130A8E4.STORY,SYSSUM.TXT,0.48000,0.07692,0.13260,1
ROUGE-1,035EABC0C4DE9C76F09ACF2325A2CFEDEED1FFA2.STORY,SYSSUM.TXT,0.69444,0.18519,0.29240,1
ROUGE-1,16F22F2A94A42F5E90E76690B24A45940C5BD653.STORY,SYSSUM.TXT,0.43750,0.06829,0.11814,1
ROUGE-1,0620FF5FA324A35B4BE54BBD2DE49B42BDD0D7C0.STORY,SYSSUM.TXT,0.50000,0.09420,0.15854,1
ROUGE-1,1A0ECDB82A8AB787BB9CE038CD7B5273681CA461.STORY,SYSSUM.TXT,0.39130,0.10000,0.15929,1
ROUGE-1,085E8B6F78CF22DF7EA6636AC26946E6B752FC58.STORY,SYSSUM.TXT,0.49123,0.16766,0.25000,1
ROUGE-1,1867106F2966DAF61461125A6A44A15F31E18797.STORY,SYSSUM.TXT,0.68085,0.12598,0.21262,1
